id,inc,complex,inc_clean
NCT04289220,"9. Peripheral superficial venous blood flow is smooth, which can meet the needs of intravenous drip;",0,"Peripheral superficial venous blood flow is smooth, which can meet the needs of intravenous drip"
NCT04696432,"Age 18-70 years (include 18 and 70), male or female;",1,"Age 18-70 years (include 18 and 70), male or female"
NCT04735471,"Prior treatment must include at least 2 prior regimens, including anti CD20 antibody therapies. Prior Treatment with CD19 CAR T may be considered.",0,"Prior treatment must include at least 2 prior regimens, including anti CD20 antibody therapies. Prior Treatment with CD19 CAR T may be considered."
NCT02846584,"Subjects with the following CNS status are eligible only in the absence of neurologic symptoms suggestive of CNS leukemia, such as cranial nerve palsy: CNS 1, defined as absence of blasts in cerebral spinal fluid (CSF) on cytospin preparation, regardless of the number of WBCs; CNS 2, defined as presence of < 5/uL WBCs in CSF and cytospin positive for blasts, or > 5/uL WBCs but negative by Steinherz/Bleyer algorithm CNS3 with marrow disease who has failed salvage systemic and intensive IT chemotherapy (and therefore not eligible for radiation)",0,"Subjects with the following CNS status are eligible only in the absence of neurologic symptoms suggestive of CNS leukemia, such as cranial nerve palsy: CNS 1, defined as absence of blasts in cerebral spinal fluid (CSF) on cytospin preparation, regardless of the number of WBCs; CNS 2, defined as presence of < 5/uL WBCs in CSF and cytospin positive for blasts, or > 5/uL WBCs but negative by Steinherz/Bleyer algorithm CNS3 with marrow disease who has failed salvage systemic and intensive IT chemotherapy (and therefore not eligible for radiation)"
NCT04703686,Negative serologic or PCR test results for acute or chronic HBV infection Note: Patients whose HBV infection status cannot be determined by serologic test results must be negative for HBV by PCR to be eligible for study participation,0,Negative serologic or PCR test results for acute or chronic HBV infection Note: Patients whose HBV infection status cannot be determined by serologic test results must be negative for HBV by PCR to be eligible for study participation
NCT02431988,Age 16-65 years,0,Age 16-65 years
NCT05415475,No serious mental disorder;,1,No serious mental disorder
NCT03881761,CD19/CD20 positive relapsed/refractory B cell lymphoma,0,CD19/CD20 positive relapsed/refractory B cell lymphoma
NCT03758417,"
Received at least 3 prior lines of treatment for multiple myeloma
a) Undergone at least 1 complete cycle of treatment for each line, unless progressive disease (PD) was documented by IMWG criteria as the best response to the regimen
",0,"Received at least 3 prior lines of treatment for multiple myeloma a) Undergone at least 1 complete cycle of treatment for each line, unless progressive disease (PD) was documented by IMWG criteria as the best response to the regimen"
NCT05633615,STEP 2: RANDOMIZATION: AST and ALT =< 3 x institutional ULN (within 7 days prior to step 2 randomization),0,STEP 2: RANDOMIZATION: AST and ALT =< 3 x institutional ULN (within 7 days prior to step 2 randomization)
NCT04156178,"Ages Eligible for Study: Child, Adult, Older Adult",0,"Ages Eligible for Study: Child, Adult, Older Adult"
NCT04385173,Blood cell count： White blood count (WBC) >= 2000/μL；Neutrophil count >= 1500/μL；Platelets >= 100 x 103/μL；Hemoglobin >= 9.0 g/dL,1,Blood cell count: White blood count (WBC) >= 2000/μL;Neutrophil count >= 1500/μL;Platelets >= 100 x 103/μL;Hemoglobin >= 9.0 g/dL
NCT04442022,Sexes Eligible for Study: All,1,Sexes Eligible for Study: All
NCT04003168,Those who relapse 90 days after stem cell transplantation,0,Those who relapse 90 days after stem cell transplantation
NCT03768310,Hemoglobin >7.0 (can be a transfused value),0,Hemoglobin >7.0 (can be a transfused value)
NCT03931720,"Ages Eligible for Study: 18 Years to 75 Years   (Adult, Older Adult)",0,"Ages Eligible for Study: 18 Years to 75 Years (Adult, Older Adult)"
NCT04691713,Age 3-70,0,Age 3-70
NCT05312801,Subjects (or legal guardians) must have the ability to understand and the willingness to sign a written informed consent document.,0,Subjects (or legal guardians) must have the ability to understand and the willingness to sign a written informed consent document.
NCT05472610,Sexes Eligible for Study: All,0,Sexes Eligible for Study: All
NCT02259556,"Adequate pulmonary function with FEV1, FVC and DLCO greater than or equal to 50% of expected corrected for hemoglobin.",0,"Adequate pulmonary function with FEV1, FVC and DLCO greater than or equal to 50% of expected corrected for hemoglobin."
NCT05574114,"Adequate bone marrow function without a requirement for blood product transfusion or growth factor support in the previous 7 days, unless the cytopenias are felt to be due to the underlying lymphoma in the best judgement of the study investigator:",0,"Adequate bone marrow function without a requirement for blood product transfusion or growth factor support in the previous 7 days, unless the cytopenias are felt to be due to the underlying lymphoma in the best judgement of the study investigator:"
NCT04863066,Sexes Eligible for Study: All,0,Sexes Eligible for Study: All
NCT04928105,Sexes Eligible for Study: All,0,Sexes Eligible for Study: All
NCT04510051,Research participant must have appropriate venous access,0,Research participant must have appropriate venous access
NCT02850536,Patient failed at least one line of standard systemic chemotherapy and has unresectable disease.,1,Patient failed at least one line of standard systemic chemotherapy and has unresectable disease.
NCT05032820,Hepatic Function: a. Serum aspartate aminotransferase (AST) and alanine aminotransferase (ALT) less than or equal to 2.5 x upper limit of normal (ULN) b. Serum total bilirubin less than or equal to 2 x ULN. Patients who have been diagnosed with Gilbert's disease are permitted to exceed the defined bilirubin value of 2 x ULN,0,Hepatic Function: a. Serum aspartate aminotransferase (AST) and alanine aminotransferase (ALT) less than or equal to 2.5 x upper limit of normal (ULN) b. Serum total bilirubin less than or equal to 2 x ULN. Patients who have been diagnosed with Gilbert's disease are permitted to exceed the defined bilirubin value of 2 x ULN
NCT04191941,At least one clear indicator for hematological malignancy monitoring;,0,At least one clear indicator for hematological malignancy monitoring
NCT03064269,Accepts Healthy Volunteers: No,0,Accepts Healthy Volunteers: No
NCT02792114,Any major operation must have occurred at least 28 days before study enrollment.,0,Any major operation must have occurred at least 28 days before study enrollment.
NCT03233854,"Ages Eligible for Study: 18 Years and older   (Adult, Older Adult)",0,"Ages Eligible for Study: 18 Years and older (Adult, Older Adult)"
NCT03631576,Sexes Eligible for Study: All,0,Sexes Eligible for Study: All
NCT04976218,Age from 18 to 75 years with estimated life expectancy >3 months.,0,Age from 18 to 75 years with estimated life expectancy >3 months.
NCT05515185,"
Laboratory test results should at least meet the following requirements:
Left ventricular ejection fraction ≥40%; Creatinine ≤200 umol/L; Absolute neutrophil count (ANC) ≥1.5×109/L; Platelet (PLT) ≥80×109/L; Hemoglobin ≥80g/L; Oxygen saturation of blood 91%; Total bilirubin ≤2×ULN; ALT and AST 2.5 x ULN or less; The criteria for abnormal ALT and AST due to disease (e.g., liver metastases or bile duct obstruction) or Gilbert syndrome can be relaxed to ≤5×ULN.
",1,"Laboratory test results should at least meet the following requirements: Left ventricular ejection fraction ≥40%; Creatinine ≤200 umol/L; Absolute neutrophil count (ANC) ≥1.5×109/L; Platelet (PLT) ≥80×109/L; Hemoglobin ≥80g/L; Oxygen saturation of blood 91%; Total bilirubin ≤2×ULN; ALT and AST 2.5 x ULN or less; The criteria for abnormal ALT and AST due to disease (e.g., liver metastases or bile duct obstruction) or Gilbert syndrome can be relaxed to ≤5×ULN."
NCT02782351,Free of leukocytes removal contraindications,0,Free of leukocytes removal contraindications
NCT05239689,"Ages Eligible for Study: Child, Adult, Older Adult",0,"Ages Eligible for Study: Child, Adult, Older Adult"
NCT04007978,"
B-cell malignancies include the following three types
A. B-cell acute lymphoblastic leukemia (B-ALL)
B. Indolent B-cell lymphoma (CLL, FL, MZL, LPL, HCL)
C. Invasive B-cell lymphoma (DLBCL, BL, MCL)
",0,"B-cell malignancies include the following three types A. B-cell acute lymphoblastic leukemia (B-ALL) B. Indolent B-cell lymphoma (CLL, FL, MZL, LPL, HCL) C. Invasive B-cell lymphoma (DLBCL, BL, MCL)"
NCT05381181,"Patients cannot benefit from autologous CAR-T cell therapy due to T cell separation failure or CART amplification failure in the preparation of autologous CART, or the failure to complete apheresis or disease progression; Or the content of T cells in PBMC of peripheral blood is less than or equal to 10%; Or the disease is not effectively controlled within one month after autologous CAR-T transfusion, and the patient cannot receive CAR-T transfusion again;",0,"Patients cannot benefit from autologous CAR-T cell therapy due to T cell separation failure or CART amplification failure in the preparation of autologous CART, or the failure to complete apheresis or disease progression; Or the content of T cells in PBMC of peripheral blood is less than or equal to 10%; Or the disease is not effectively controlled within one month after autologous CAR-T transfusion, and the patient cannot receive CAR-T transfusion again"
NCT05385263,"Ages Eligible for Study: 18 Years and older   (Adult, Older Adult)",0,"Ages Eligible for Study: 18 Years and older (Adult, Older Adult)"
NCT04715191,Refractory or relapsed disease after treatment with up- front therapy and at least one salvage treatment cycle,0,Refractory or relapsed disease after treatment with up- front therapy and at least one salvage treatment cycle
NCT03289455,Accepts Healthy Volunteers: No,0,Accepts Healthy Volunteers: No
NCT02813837,"Ages Eligible for Study: up to 60 Years   (Child, Adult)",0,"Ages Eligible for Study: up to 60 Years (Child, Adult)"
NCT04864821,Sexes Eligible for Study: All,0,Sexes Eligible for Study: All
NCT05149391,CD19 or CD20 positive B-Non-Hodgkin's lymphoma confirmed by cytology or histology according to World Health Organization 2016 criteria;,1,CD19 or CD20 positive B-Non-Hodgkin's lymphoma confirmed by cytology or histology according to World Health Organization 2016 criteria
NCT04655677,Expected survival ≥ 12 weeks,0,Expected survival ≥ 12 weeks
NCT04840875,Sexes Eligible for Study: All,0,Sexes Eligible for Study: All
NCT04429451,Accepts Healthy Volunteers: No,0,Accepts Healthy Volunteers: No
NCT03994913,The Eastern Cooperative Oncology Group (ECOG) score is 0 or 1 point;,0,The Eastern Cooperative Oncology Group (ECOG) score is 0 or 1 point
NCT05495464,Newly diagnosed high risk patient without any prior therapy for MCL and are eligible to receive AR and CART cell therapy.,1,Newly diagnosed high risk patient without any prior therapy for MCL and are eligible to receive AR and CART cell therapy.
NCT04599556,The patients or their legal guardians voluntarily participated in the trial and signed the informed consent.,0,The patients or their legal guardians voluntarily participated in the trial and signed the informed consent.
NCT05225831,Sexes Eligible for Study: All,0,Sexes Eligible for Study: All
NCT05429905,"<p>Cohort 3 (Phase II): Relapsed/Refractory Extramedullary B-ALL</p><ul><ul>
<li>Patients with testicular leukaemia confirmed on biopsy</li>
<li>Patients with CNS-3 B-ALL or Leptomeningeal disease</li>
<li>Patients with combined bone marrow and extramedullary relapse (as defined in Cohort 1) are eligible.</li>
</ul></ul>",0,<p>Cohort 3 (Phase II): Relapsed/Refractory Extramedullary B-ALL</p><ul><ul> <li>Patients with testicular leukaemia confirmed on biopsy</li> <li>Patients with CNS-3 B-ALL or Leptomeningeal disease</li> <li>Patients with combined bone marrow and extramedullary relapse (as defined in Cohort 1) are eligible.</li> </ul></ul>
NCT04511871,"Capable of receiving treatment and follow-up, including treatment in the clinical center;",0,"Capable of receiving treatment and follow-up, including treatment in the clinical center"
NCT05432635,Absolute neutrophil count >= 1000/uL (Transfusions and growth factors must not be used to meet this requirement at initial screening),0,Absolute neutrophil count >= 1000/uL (Transfusions and growth factors must not be used to meet this requirement at initial screening)
NCT05077527,"Men who have partners of childbearing potential must agree to use an effective barrier contraceptive method before study entry, for the duration of study participation, and for 1 year after the last dose of axicabtagene ciloleucel",0,"Men who have partners of childbearing potential must agree to use an effective barrier contraceptive method before study entry, for the duration of study participation, and for 1 year after the last dose of axicabtagene ciloleucel"
NCT03980288,Expected survival is > 12 weeks;,0,Expected survival is > 12 weeks
NCT04938115,HGB≥70g/L (can be transfused);,0,HGB≥70g/L (can be transfused)
NCT04778579,Life expectancy of at least 3 months.,0,Life expectancy of at least 3 months.
NCT03881774,Accepts Healthy Volunteers: No,0,Accepts Healthy Volunteers: No
NCT03904069,Karnofsky performance score greater than or equal to 50 (for subjects aged greater than or equal to 16 years) or Lansky (for subjects aged less than 16 years) performance score greater than or equal to 50.,0,Karnofsky performance score greater than or equal to 50 (for subjects aged greater than or equal to 16 years) or Lansky (for subjects aged less than 16 years) performance score greater than or equal to 50.
NCT05287165,Tumor tissue samples were positive for GUCY2C IHC staining;,0,Tumor tissue samples were positive for GUCY2C IHC staining
NCT04442022,"Female patients of childbearing potential must have a negative serum pregnancy test at Screening and agree to use highly effective methods of contraception throughout the study and for 12 months following the last dose of study treatment (except patients with Non-Childbearing potential: Age >50 years and naturally amenorrhoeic for >1 year, or previous bilateral salpingo-oophorectomy, or hysterectomy).",1,"Female patients of childbearing potential must have a negative serum pregnancy test at Screening and agree to use highly effective methods of contraception throughout the study and for 12 months following the last dose of study treatment (except patients with Non-Childbearing potential: Age >50 years and naturally amenorrhoeic for >1 year, or previous bilateral salpingo-oophorectomy, or hysterectomy)."
NCT02631044,Accepts Healthy Volunteers: No,0,Accepts Healthy Volunteers: No
NCT02710149,Accepts Healthy Volunteers: No,0,Accepts Healthy Volunteers: No
NCT02208362,Research participant serum total bilirubin does not exceed 2 x normal limit,0,Research participant serum total bilirubin does not exceed 2 x normal limit
NCT05418088,"With female partners of childbearing potential, men must remain abstinent or use a condom plus an additional contraceptive method that together result in a failure rate of < 1% per year during the treatment period and for at least 6 months after the Anti-CD19/20/22 CAR-T cell infusion. Men must refrain from donating sperm during this same period",1,"With female partners of childbearing potential, men must remain abstinent or use a condom plus an additional contraceptive method that together result in a failure rate of < 1% per year during the treatment period and for at least 6 months after the Anti-CD19/20/22 CAR-T cell infusion. Men must refrain from donating sperm during this same period"
NCT04817774,Male or female aged 18 - 70 years.,1,Male or female aged 18 - 70 years.
NCT03937544,Post allogeneic HSCT must be ≥ Day +100 with no evidence of active GVHD and not receiving immunosuppression,1,Post allogeneic HSCT must be ≥ Day +100 with no evidence of active GVHD and not receiving immunosuppression
NCT04429451,Body weight greater than or equal to 10 kg.,0,Body weight greater than or equal to 10 kg.
NCT04499573,"Patient cardiac function left ventricular ejection fraction greater than or equal to 40% by MUGA or cardiac MRI, or fractional shortening greater than or equal to 28% by ECHO or left ventricular ejection fraction greater than or equal to 50% by ECHO.",0,"Patient cardiac function left ventricular ejection fraction greater than or equal to 40% by MUGA or cardiac MRI, or fractional shortening greater than or equal to 28% by ECHO or left ventricular ejection fraction greater than or equal to 50% by ECHO."
NCT05514327,Sexes Eligible for Study: All,0,Sexes Eligible for Study: All
NCT05422521,Affiliated patient or beneficiary of a social security scheme,0,Affiliated patient or beneficiary of a social security scheme
NCT04134325,Sexes Eligible for Study: All,0,Sexes Eligible for Study: All
NCT04336501,It was consistent with the diagnosis of CD19+ B-All with MRD+ in allo- hsct transplantation,0,It was consistent with the diagnosis of CD19+ B-All with MRD+ in allo- hsct transplantation
NCT03356795,"GD2, PSMA, Muc1, Mesothelin or other markers is expressed high (above 2+) in malignancy tissues by immuno-histochemical or flow cytometry.",0,"GD2, PSMA, Muc1, Mesothelin or other markers is expressed high (above 2+) in malignancy tissues by immuno-histochemical or flow cytometry."
NCT05538195,"Have apheresis or venous blood collection standards, and have no other contraindications for cell collection;",0,"Have apheresis or venous blood collection standards, and have no other contraindications for cell collection"
NCT04767308,Sexes Eligible for Study: All,0,Sexes Eligible for Study: All
NCT03798509,ECOG score 0-1;,0,ECOG score 0-1
NCT04271410,Left ventricular ejection fraction ≥50%,0,Left ventricular ejection fraction ≥50%
NCT05243212,Able to understand and sign the Informed Consent Document.,0,Able to understand and sign the Informed Consent Document.
NCT05269914,Adequate organ function.,0,Adequate organ function.
NCT03938987,"Tumor tissue (archival or recent acquisition) must be available for correlative laboratory studies (such as immunohistochemistry, and others).",0,"Tumor tissue (archival or recent acquisition) must be available for correlative laboratory studies (such as immunohistochemistry, and others)."
NCT04627740,PS 0-2,0,PS 0-2
NCT02842138,life expectancy > 3months.,0,life expectancy > 3months.
NCT04599543,Patients or their legal guardians volunteer to participate in the studyand sign the informed consent.,0,Patients or their legal guardians volunteer to participate in the studyand sign the informed consent.
NCT03117751,Sexes Eligible for Study: All,0,Sexes Eligible for Study: All
NCT03545815,Life expectancy > 12 weeks.,0,Life expectancy > 12 weeks.
NCT05234190,Sexes Eligible for Study: All,0,Sexes Eligible for Study: All
NCT03528421,"Ages Eligible for Study: 18 Years and older   (Adult, Older Adult)",0,"Ages Eligible for Study: 18 Years and older (Adult, Older Adult)"
NCT04550663,Women of childbearing age must undergo a negative pregnancy test (serum or urine) within 7 days of enrollment and voluntarily use an appropriate method of contraception during observation and within 8 weeks after the last administration; men should be surgically sterilized or agree to use an appropriate method of contraception during the observation period and within 8 weeks after the last administration;,1,Women of childbearing age must undergo a negative pregnancy test (serum or urine) within 7 days of enrollment and voluntarily use an appropriate method of contraception during observation and within 8 weeks after the last administration; men should be surgically sterilized or agree to use an appropriate method of contraception during the observation period and within 8 weeks after the last administration
NCT03380039,"Ages Eligible for Study: 18 Years to 70 Years   (Adult, Older Adult)",0,"Ages Eligible for Study: 18 Years to 70 Years (Adult, Older Adult)"
NCT04013802,Sexes Eligible for Study: All,0,Sexes Eligible for Study: All
NCT04812691,Accepts Healthy Volunteers: No,0,Accepts Healthy Volunteers: No
NCT04648475,"Ages Eligible for Study: 3 Years to 75 Years   (Child, Adult, Older Adult)",0,"Ages Eligible for Study: 3 Years to 75 Years (Child, Adult, Older Adult)"
NCT02721407,"Ages Eligible for Study: 18 Years to 70 Years   (Adult, Older Adult)",0,"Ages Eligible for Study: 18 Years to 70 Years (Adult, Older Adult)"
NCT04662294,"<p>Inclusion criteria only for AML:</p><ol>
<li>Histologically confirmed diagnosis of CD70 AML per the US National Comprehensive Cancer Network (NCCN) Clinical Practice Guidelines for Acute Myeloid Leukemia (2016.v1);</li>
<li>
<p>Relapsed or refractory CD70+ AML (meeting one of the following conditions):</p>
<ol>
<li>CR not achieved after standardized chemotherapy;</li>
<li>CR achieved following the first induction, but CR duration is less than 12 months;</li>
<li>Ineffectively after first or multiple remedial treatments;</li>
<li>2 or more relapses;</li>
</ol>
</li>
<li>The number of primordial cells in bone marrow is &gt; 5% (by morphology), and/or &gt; 0.01% (by flowcytometry);</li>
<li>Total bilirubin ≤ 51 umol/L, ALT and AST ≤ 3 times of upper limit ofnormal, creatinine ≤ 176.8 umol/L;</li>
<li>Echocardiogram shows left ventricular ejection fraction (LVEF) ≥50%;</li>
<li>No active infection in the lungs, blood oxygen saturation in indoorair is ≥ 92%;</li>
<li>Estimated survival time ≥ 3 months;</li>
<li>ECOG performance status 0 to 2;</li>
<li>Patients or their legal guardians volunteer to participate in the studyand sign the informed consent.</li>
</ol>",0,"<p>Inclusion criteria only for AML:</p><ol> <li>Histologically confirmed diagnosis of CD70 AML per the US National Comprehensive Cancer Network (NCCN) Clinical Practice Guidelines for Acute Myeloid Leukemia (2016.v1);</li> <li> <p>Relapsed or refractory CD70+ AML (meeting one of the following conditions):</p> <ol> <li>CR not achieved after standardized chemotherapy;</li> <li>CR achieved following the first induction, but CR duration is less than 12 months;</li> <li>Ineffectively after first or multiple remedial treatments;</li> <li>2 or more relapses;</li> </ol> </li> <li>The number of primordial cells in bone marrow is > 5% (by morphology), and/or > 0.01% (by flowcytometry);</li> <li>Total bilirubin ≤ 51 umol/L, ALT and AST ≤ 3 times of upper limit ofnormal, creatinine ≤ 176.8 umol/L;</li> <li>Echocardiogram shows left ventricular ejection fraction (LVEF) ≥50%;</li> <li>No active infection in the lungs, blood oxygen saturation in indoorair is ≥ 92%;</li> <li>Estimated survival time ≥ 3 months;</li> <li>ECOG performance status 0 to 2;</li> <li>Patients or their legal guardians volunteer to participate in the studyand sign the informed consent.</li> </ol>"
NCT05290155,"Relapsed and refractory patients with diagnosis of CD7 positive T cell lymphoma have had≥2 prior lines of therapy,who do not acheive at least a PR, or have a relapse including:a. Peripheral T cell lymphoma NOS, or b.Angioimmunoblastic T cell lymphoma,or c. Anaplastic large cell lymphoma c.Disease can be assessed(BM or CT scan)",0,"Relapsed and refractory patients with diagnosis of CD7 positive T cell lymphoma have had≥2 prior lines of therapy,who do not acheive at least a PR, or have a relapse including:a. Peripheral T cell lymphoma NOS, or b.Angioimmunoblastic T cell lymphoma,or c. Anaplastic large cell lymphoma c.Disease can be assessed(BM or CT scan)"
NCT04703686,Sexes Eligible for Study: All,0,Sexes Eligible for Study: All
NCT01683279,absolute lymphocyte count of >/=750 cell/mm3 or >/=500 is >20kg,0,absolute lymphocyte count of >/=750 cell/mm3 or >/=500 is >20kg
NCT02735291,"All patients with acute non T lymphocytic leukemia after conventional treatment is invalid or recurrence of refractory, and by flow cytometry or pathological immunohistochemical examination, confirm the leukemia cells express can intervene molecular targets;",0,"All patients with acute non T lymphocytic leukemia after conventional treatment is invalid or recurrence of refractory, and by flow cytometry or pathological immunohistochemical examination, confirm the leukemia cells express can intervene molecular targets"
NCT04483778,Participants age ≤ 26 years at the time of consent for study participation; the first 2 participants enrolled and treated with CAR T cells in both Arms A and B will be ≥ 15 years. and ≤ 26 years at time of consent for study participation,0,Participants age ≤ 26 years at the time of consent for study participation; the first 2 participants enrolled and treated with CAR T cells in both Arms A and B will be ≥ 15 years. and ≤ 26 years at time of consent for study participation
NCT04792489,"If has history of cerebral vascular accident (CVA), the CVA event must be greater than 12 months prior to leukapheresis. Any neurological deficits must be stable.",1,"If has history of cerebral vascular accident (CVA), the CVA event must be greater than 12 months prior to leukapheresis. Any neurological deficits must be stable."
NCT05287165,Adequate organ function;,0,Adequate organ function
NCT03366324,Accepts Healthy Volunteers: No,0,Accepts Healthy Volunteers: No
NCT05412329,Accepts Healthy Volunteers: No,0,Accepts Healthy Volunteers: No
NCT03265106,"Not eligible for allogeneic SCT because of age, comorbid disease, or lack of available family member or unrelated donor",1,"Not eligible for allogeneic SCT because of age, comorbid disease, or lack of available family member or unrelated donor"
NCT05654077,Sexes Eligible for Study: All,0,Sexes Eligible for Study: All
NCT05131763,"Disease must be measurable according to the corresponding guidelines,",0,"Disease must be measurable according to the corresponding guidelines,"
NCT02933775,Sexes Eligible for Study: All,0,Sexes Eligible for Study: All
NCT02729493,The lymphocyte count must > =0.4*10^9/L at the time of collection of peripheral blood;,0,The lymphocyte count must > =0.4*10^9/L at the time of collection of peripheral blood
NCT05436223,Sexes Eligible for Study: All,0,Sexes Eligible for Study: All
NCT05474885,"AST/ALT below 3 times the upper limit of normal, blood bilirubin <34.2 μmol/L (2.0 mg/dl);",1,"AST/ALT below 3 times the upper limit of normal, blood bilirubin <34.2 μmol/L (2.0 mg/dl)"
NCT04048434,Sexes Eligible for Study: All,0,Sexes Eligible for Study: All
NCT02772198,Adequate CD3 count (above 250 CD3+ cells per microliter blood),0,Adequate CD3 count (above 250 CD3+ cells per microliter blood)
NCT05470777,expected survival > 3 months.,0,expected survival > 3 months.
NCT04952272,Life expectancy is greater than three months,0,Life expectancy is greater than three months
NCT02725125,"Voluntary participation, good compliance,the subjects can cooperate with the experimental observation, and signed a written Informed Consent Form;",1,"Voluntary participation, good compliance,the subjects can cooperate with the experimental observation, and signed a written Informed Consent Form"
NCT05377827,Accepts Healthy Volunteers: No,0,Accepts Healthy Volunteers: No
NCT04539444,Age ≥ 18 years,0,Age ≥ 18 years
NCT05032820,Accepts Healthy Volunteers: No,0,Accepts Healthy Volunteers: No
NCT05298995,Accepts Healthy Volunteers: No,0,Accepts Healthy Volunteers: No
NCT05538195,No serious mental disorder;,0,No serious mental disorder
NCT03330691,Life expectancy of at least 8 weeks,0,Life expectancy of at least 8 weeks
NCT03790891,"Laboratory tests must fulfill the following criteria: ANC ≥ 1000/uL, HGB>70g/L, Platelet count ≥ 50,000/uL, Creatinine clearance ≤1.5 ULN, Serum ALT/AST ≤2.5 ULN, Total bilirubin ≤1.5 ULN (except in subjects with Gilbert's syndrome);",1,"Laboratory tests must fulfill the following criteria: ANC ≥ 1000/uL, HGB>70g/L, Platelet count ≥ 50,000/uL, Creatinine clearance ≤1.5 ULN, Serum ALT/AST ≤2.5 ULN, Total bilirubin ≤1.5 ULN (except in subjects with Gilbert's syndrome)"
NCT02690545,Karnofsky or Lansky score of >60% (Karnofsky for ≥16 years old and Lansky for <16 years old),1,Karnofsky or Lansky score of >60% (Karnofsky for ≥16 years old and Lansky for <16 years old)
NCT04506983,ECOG is 0 or 1 (one week before enrollment.),0,ECOG is 0 or 1 (one week before enrollment.)
NCT04981691,Ability to understand and the willingness to provide written informed consent.,0,Ability to understand and the willingness to provide written informed consent.
NCT04422912,"Ages Eligible for Study: 18 Years and older   (Adult, Older Adult)",0,"Ages Eligible for Study: 18 Years and older (Adult, Older Adult)"
NCT05143112,The ECOG behavior status score is 0-2 points;,0,The ECOG behavior status score is 0-2 points
NCT02710149,Ability to give informed consent.,0,Ability to give informed consent.
NCT05416554,>/= 18 years-old,0,>/= 18 years-old
NCT04981691,IHC test showed Mesothelin positive expression at least 1+ in tumor tissue,0,IHC test showed Mesothelin positive expression at least 1+ in tumor tissue
NCT05277987,According to the solid tumor efficacy evaluation standard (RECIST) v1.1Measurable lesions;,0,According to the solid tumor efficacy evaluation standard (RECIST) v1.1Measurable lesions
NCT04430595,"Ages Eligible for Study: 18 Years to 75 Years   (Adult, Older Adult)",0,"Ages Eligible for Study: 18 Years to 75 Years (Adult, Older Adult)"
NCT05085418,Accepts Healthy Volunteers: No,0,Accepts Healthy Volunteers: No
NCT04989803,"Ages Eligible for Study: 18 Years and older   (Adult, Older Adult)",0,"Ages Eligible for Study: 18 Years and older (Adult, Older Adult)"
NCT05416554,Sexes Eligible for Study: All,0,Sexes Eligible for Study: All
NCT04447573,The expression of BCMA in myeloma cells was reported as positive by flow cytometry or immunohistochemistry;,0,The expression of BCMA in myeloma cells was reported as positive by flow cytometry or immunohistochemistry
NCT04544592,"Males OR non-pregnant, non-lactating females",1,"Males OR non-pregnant, non-lactating females"
NCT04684472,Male and female of reproductive potential must agree to use birth control during the study and for at least 30 days post study;,1,Male and female of reproductive potential must agree to use birth control during the study and for at least 30 days post study
NCT04412889,"Females must not be in pregnancy nor in lactation. Form signing the ICF to the end of the trial, females of childbearing potential and males must use efficient contraception;",1,"Females must not be in pregnancy nor in lactation. Form signing the ICF to the end of the trial, females of childbearing potential and males must use efficient contraception"
NCT01583686,Women of child-bearing potential must have a negative pregnancy test because of the potentially dangerous effects of the treatment on the fetus.,0,Women of child-bearing potential must have a negative pregnancy test because of the potentially dangerous effects of the treatment on the fetus.
NCT05371132,Participant is willing and able to comply with all protocol required procedures,0,Participant is willing and able to comply with all protocol required procedures
NCT05306080,"Ages Eligible for Study: 18 Years and older   (Adult, Older Adult)",0,"Ages Eligible for Study: 18 Years and older (Adult, Older Adult)"
NCT03814447,Able to understand and sign the Informed Consent Document.,0,Able to understand and sign the Informed Consent Document.
NCT04318327,"Part B: Subjects with newly diagnosed multiple myeloma (NDMM) who have received a minimum of 4 and up to 6 cycles of standard induction therapy with VRd, D-VRd, or D-Rd, and have achieved a response of PR or better. One cycle of CyBorDex is allowed prior to induction.",0,"Part B: Subjects with newly diagnosed multiple myeloma (NDMM) who have received a minimum of 4 and up to 6 cycles of standard induction therapy with VRd, D-VRd, or D-Rd, and have achieved a response of PR or better. One cycle of CyBorDex is allowed prior to induction."
NCT02644655,At least two months after infusion of T cells,0,At least two months after infusion of T cells
NCT05341492,1.All subjects or legal guardians must sign the informed consent form approved by the ethics committee in writing before starting any screening procedure;,0,All subjects or legal guardians must sign the informed consent form approved by the ethics committee in writing before starting any screening procedure
NCT04789408,Accepts Healthy Volunteers: No,0,Accepts Healthy Volunteers: No
NCT02631044,PET-positive disease by Lugano classification,0,PET-positive disease by Lugano classification
